,,,,,,,,,,,
,ELECTROLINERA 60KW,,,,,,,,,,
,UTILIDAD BRUTA ANUAL," $  88.560.000,00 "," $  103.260.960,00 "," $  120.402.279,36 "," $  140.389.057,73 "," $  163.693.641,32 "," $  190.866.785,78 "," $  222.550.672,22 "," $  259.494.083,80 "," $  302.570.101,71 "," $  352.796.738,60 "
,RENTABILIDAD MENSUAL,"4,10%","4,78%","5,57%","6,50%","7,58%","8,84%","10,30%","12,01%","14,01%","16,33%"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,ELECTROLINERA 120KW,,,,,,,,,,
,,,,,,,,,,,
,VENTA DE UNIDADES,,,,,,,,,,
,PRECIO ELECTROLINERA," $  250.000.000,00 ",,,,,,,,,
,DESCUENTO,0%,,,,,,,,,
,PRECIO FINAL,$ 0,,,,,,,,,
,PRECIO KW/h ELECTROLINERA,"$ 1.900,00",,,,,,,,,
,PRECIO KW/h ESSA,"$ 1.000,00",,,,,,,,,
,COMSION ADQUIRENCIA,5%,,,,,,,,,
,COSTO ADMINISTRACION GE,10%,,,,,,,,,
,CAPACIDAD DEL VEHICULO,50,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,SIMULADOR PARA FARMERS,,,,,,,,,,
,PROYECCION 10 AÑOS,AÑO 1,AÑO 2,AÑO 3,AÑO 4,AÑO 5,AÑO 6,AÑO 7,AÑO 8,AÑO 9,AÑO 10
,PRECIO GRANJA KW/h," $  1.000,00 "," $  1.060,00 "," $  1.123,60 "," $  1.191,02 "," $  1.262,48 "," $  1.338,23 "," $  1.418,52 "," $  1.503,63 "," $  1.593,85 "," $  1.689,48 "
,PRECIO ELECTROLINERA KW/h," $  1.900,00 "," $  2.014,00 "," $  2.134,84 "," $  2.262,93 "," $  2.398,71 "," $  2.542,63 "," $  2.695,19 "," $  2.856,90 "," $  3.028,31 "," $  3.210,01 "
,CARGAS MENSUALES DE 50KWh,"450,00","495,00","544,50","598,95","658,85","724,73","797,20","876,92","964,61","1061,08"
,KWh VENDIDOS,22500,24750,27225,29948,32942,36236,39860,43846,48231,53054
,INGRESOS ELECTROLINERA," $  42.750.000,00 "," $  49.846.500,00 "," $  58.121.019,00 "," $  67.769.108,15 "," $  79.018.780,11 "," $  92.135.897,61 "," $  107.430.456,61 "," $  125.263.912,40 "," $  146.057.721,86 "," $  170.303.303,69 "
,COSTO ENERGIA," $  22.500.000,00 "," $  26.235.000,00 "," $  30.590.010,00 "," $  35.667.951,66 "," $  41.588.831,64 "," $  48.492.577,69 "," $  56.542.345,58 "," $  65.928.374,95 "," $  76.872.485,19 "," $  89.633.317,73 "
,COMISION ADQUIRENCIA," $  2.137.500,00 "," $  2.492.325,00 "," $  2.906.050,95 "," $  3.388.455,41 "," $  3.950.939,01 "," $  4.606.794,88 "," $  5.371.522,83 "," $  6.263.195,62 "," $  7.302.886,09 "," $  8.515.165,18 "
,ADMINISTRACION GE," $  4.275.000,00 "," $  4.984.650,00 "," $  5.812.101,90 "," $  6.776.910,82 "," $  7.901.878,01 "," $  9.213.589,76 "," $  10.743.045,66 "," $  12.526.391,24 "," $  14.605.772,19 "," $  17.030.330,37 "
,UTILIDAD BRUTA MENSUAL," $  13.837.500,00 "," $  16.134.525,00 "," $  18.812.856,15 "," $  21.935.790,27 "," $  25.577.131,46 "," $  29.822.935,28 "," $  34.773.542,53 "," $  40.545.950,59 "," $  47.276.578,39 "," $  55.124.490,41 "
,UTILIDAD BRUTA ANUAL," $  166.050.000,00 "," $  193.614.300,00 "," $  225.754.273,80 "," $  263.229.483,25 "," $  306.925.577,47 "," $  357.875.223,33 "," $  417.282.510,40 "," $  486.551.407,13 "," $  567.318.940,71 "," $  661.493.884,87 "
,RENTABILIDAD MENSUAL,"5,54%","6,45%","7,53%","8,77%","10,23%","11,93%","13,91%","16,22%","18,91%","22,05%"
